Parent Name,Parent Email,Parent Phone,Student Name,Student Age,Student Grade,Subjects
Sarah Johnson,sarah.johnson@email.com,555-0101,Emma Johnson,8,2nd,Both
Sarah Johnson,sarah.johnson@email.com,555-0101,Liam Johnson,6,K,Piano
Michael Chen,michael.chen@email.com,555-0102,Sophia Chen,10,4th,Math
Michael Chen,michael.chen@email.com,555-0102,Oliver Chen,7,1st,Both
Jennifer Williams,jennifer.w@email.com,555-0103,Ava Williams,9,3rd,Piano
David Martinez,d.martinez@email.com,555-0104,Isabella Martinez,11,5th,Both
David Martinez,d.martinez@email.com,555-0104,Lucas Martinez,8,2nd,Math
Emily Brown,emily.brown@email.com,555-0105,Mia Brown,7,1st,Piano
Robert Taylor,r.taylor@email.com,555-0106,Noah Taylor,12,6th,Math
Robert Taylor,r.taylor@email.com,555-0106,Charlotte Taylor,9,3rd,Both
Amanda Davis,amanda.d@email.com,555-0107,Ethan Davis,6,K,Piano
James Wilson,j.wilson@email.com,555-0108,Amelia Wilson,10,4th,Both
